smiles,label_p53ts,label_cell
O=C(Nc1ccc(-c2nc3ccccc3o2)cc1)C1CCCO1,1,1
COc1ccc(-c2nc(-c3ccccc3)no2)c(OC)c1,1,1
COc1ccc(-c2nc3ccccc3s2)cc1O,1,1
NC(=O)c1ccccc1N/C=C/C(=O)c1ccccc1,1,1
CN(C)S(=O)(=O)c1ccc(NC(=O)c2ccccn2)cc1,1,1
COc1cccc(NC(=O)COc2ccccc2C(N)=O)c1,1,1
CCOc1ccc(OCc2cccc(C(=O)O)c2)cc1,1,1
CCOc1ccc(NC(=O)c2ccco2)cc1,1,1
CCc1nnc(NC(=O)CSc2nc3c(cc2C#N)CCC3)s1,1,1
Cc1ccnc(NC(=O)CCC2CCCCC2)c1,1,1
Cc1cc(C(=O)Nc2ccc3c(c2)OCCO3)c(C)o1,1,1
Cn1cnc2cc(NC(=O)c3ccco3)ccc21,1,1
O=c1c(-c2ccc3c(c2)OCCO3)coc2cc(O)cc(O)c12,1,1
c1ccc(-c2noc(-c3ccc4c(c3)OCO4)n2)nc1,1,1
Cc1nc2cc(NC(=O)N3c4ccccc4CC3C)ccc2n1C,1,1
CCc1nn2cc(-c3ccccc3)nc2s1,1,1
CC(C)CC(=O)Nc1ccc(-c2cn3ccsc3n2)cc1,1,1
Cc1cc(C(=O)Nc2sc3c(c2C#N)CCC3)no1,1,1
COc1ccccc1NC(=O)Nc1ccc2c(c1)OCCO2,1,1
Nc1nc2ccc(N3CCOCC3)cc2s1,1,1
CC(=O)c1c(C)nc2ccccc2c1N,1,1
Cc1ccc(-c2cc(C(=O)N3CCCC3)no2)cc1,1,1
O=C(Nc1ccc(N2CCOCC2)cc1)c1cnsn1,1,1
Cc1nn2c3cc(N4CCOCC4)ccc3nc2c2ccccc12,1,1
CCc1cc2c(=O)c(-c3ccc4c(c3)OCCO4)coc2cc1OC(=O)c1ccco1,1,1
Cc1cc(C(=O)Nc2ccc3c(c2)OCO3)cs1,1,1
Clc1ccc(-c2nnc(SCc3ccon3)o2)c(Cl)c1,1,1
CC1CCc2nc(NC(=O)c3ccco3)sc2C1,1,1
COc1ccccc1C(=O)Nc1ccc2c(c1)nc(CCNC(C)=O)n2C,1,1
CCN(CC)c1ccc(NC(=O)Nc2cccc(C(C)=O)c2)cc1,1,1
Cc1cc(NC(=O)c2ccc3c(c2)OCO3)no1,1,1
Cc1ccc(C(=O)/C=C/Nc2ccccc2C(N)=O)o1,1,1
O=C(/C=C/Nc1ccc(F)cc1)c1ccco1,1,1
COC(=O)c1sc(NC(=O)c2ccc(OC)cc2OC)nc1C,1,1
COc1ccc(-c2cn3c4c(sc3n2)CCCC4)cc1,1,1
CS(=O)(=O)c1ccc2nc(NC(=O)c3cccs3)sc2c1,1,1
CCc1ccc(OCc2nc(-c3ccccn3)no2)c(Br)c1,1,1
Oc1cccc(-c2nc3ccccc3s2)c1,1,1
CC(C)(C)c1ccc(C(=O)Nc2cnccn2)cc1,1,1
COc1nc(C)ccc1-c1noc(-c2ccccn2)n1,1,1
COc1ccc(-c2cc3nc4n(c(=O)c3s2)CCC4)cc1,1,1
CN(C)c1ccc(N/C=C/C(=O)c2ccccc2)cc1,1,1
CCN(CC)S(=O)(=O)c1cc(C(=O)Nc2ccccn2)ccc1C,1,1
O=C(CS(=O)(=O)Cc1ccccc1)N1CCN(Cc2ccc3c(c2)OCO3)CC1,1,1
c1ccc2nc(-c3nc4ccccc4o3)ccc2c1,1,1
O=C(Nc1ccc(CN2CCOCC2)cc1)c1cc2ccccc2o1,1,1
CCOc1ccc(OCc2cccc(C(=O)N3CCOCC3)c2)cc1,1,1
N#Cc1c(NC(=O)c2nc3ncccn3n2)sc2c1CCCCC2,1,1
Cc1nc2cc(NC(=O)Nc3nccs3)ccc2n1C,1,1
O=C(O)c1cccc(COc2ccc(CO)cc2Cl)c1,1,1
c1ccc(-c2noc(-c3cccnc3)n2)nc1,1,1
Cc1nc(-c2ccc(NC(=O)c3cccs3)cc2)cs1,1,1
O=C(Nc1ccc(-c2nc3ccccc3[nH]2)cc1)C1CCCO1,1,1
CC(C)(C)c1csc(NC2=NS(=O)(=O)c3ccccc32)n1,1,1
O=C(c1cc(-c2ccc(Cl)cc2Cl)on1)N1CCOCC1,1,1
c1ccc(-c2noc(-c3ccc4ccccc4c3)n2)nc1,1,1
Nc1nc(-c2nc3ccccc3[nH]2)cs1,1,1
COc1ccc(-n2nc3cc(C)c(N)c(Br)c3n2)cc1,1,1
O=C(COc1ccc(Cl)cc1Cl)Nc1ccccn1,1,1
Cc1ccc(NC(=O)c2ccccc2)s1,1,1
Cc1cccc(-n2ncc3c(N4CCCC4)ncnc32)c1,1,1
CCc1nnc(NC(=O)CSc2nc3c(cc2C#N)CCCC3)s1,1,1
COc1ccc2c(c1OC)C(=O)N(c1cccc(C)c1)C2,1,1
O=C(O)c1cccc(COc2ccccc2Cl)c1,1,1
COc1ccc(C(=O)Nc2ccccc2C(N)=O)cc1,1,1
O=C(Nc1nnc(-c2ccccc2Cl)o1)c1ccco1,1,1
Cc1cc(NC(=O)c2ccc3c(c2)OCCO3)no1,1,1
CCN(CC)c1ccc(NC(=O)c2ccco2)cc1,1,1
O=C(Nc1ccc2c(c1)OCCO2)c1cncc(Br)c1,1,1
O=C1CC(c2ccccc2)Cc2nc(NCc3ccco3)ncc21,1,1
COc1ccc2nc(-c3ccccc3)[nH]c2c1,1,1
CCOC(=O)c1c(N)sc(C(=O)Nc2ccc3c(c2)OCO3)c1C,1,1
CCc1ccc2oc(-c3ccc(N)cc3)nc2c1,1,1
CC1CCc2nc(NC(=O)C3CCCO3)sc2C1,1,1
Cc1nc2cc(NC(=O)N3c4ccccc4CC3C)ccc2o1,1,1
Clc1ccccc1-c1nc(-c2cccnc2)no1,1,1
CCN(CC)c1ccc2c(c1)oc(=O)c1c(Cl)cc(=O)oc12,1,1
COc1ccccc1C(=O)Nc1ccccn1,1,1
COc1nc(C)ccc1-c1noc(-c2ccco2)n1,1,1
CC(=O)N1CCc2cc(NC(=O)c3ccc(C)cc3)ccc21,1,1
Cc1ccc(-c2nnc(SCC(=O)Nc3ccccc3F)o2)cc1,1,1
CCN1CCN(Cc2ccc(NC(=O)Nc3ccccc3OC)cc2)CC1,1,1
CCN1CCN(Cc2ccc(NC(=O)Nc3ccccc3Cl)cc2)CC1,1,1
Nc1ccc2nc(-c3ccc(Cl)cc3)[nH]c2c1,1,1
Clc1ccc(OCc2nc(-c3ccccn3)no2)c(Br)c1,1,1
Fc1cccc(CSc2nc3ccncc3[nH]2)c1,1,1
Cc1ccc(N2C(=O)c3ccccc3C2O)nc1,1,1
COc1ccc(NC(=O)c2cc3ccccn3n2)cc1,1,1
Oc1c(CN2CCc3ccccc3C2)cc(Cl)c2cccnc12,1,1
Cc1ccnc(Nc2nc3ccccc3o2)n1,1,1
CCOc1ccc2nc(NC(=O)Nc3cccs3)sc2c1,1,1
COc1cccc(-c2cc(C(=O)N3CCCCCC3)no2)c1,1,1
O=C(Nc1ccc(CN2CCOCC2)cc1)c1cc2ccccn2n1,1,1
COCc1cc(=O)n2c(-c3ccc(C)cc3)n[nH]c2n1,1,1
CC(=O)c1cccc(NC(=O)c2cc3ccccn3n2)c1,1,1
c1cn2c(NC3CCCC3)c(-c3ccc(N4CCOCC4)cc3)nc2cn1,1,1
O=C(CSc1nnc(-c2ccccc2)o1)Nc1ccccc1F,1,1
COCCOC(=O)c1[nH]c2c(c1C)C(=O)C(C(=O)OC)C(C)C2,1,1
COc1ccccc1-c1nc(-c2ccccn2)no1,1,1
